PublicationYear,PMID,Type
2016,27342774,JOURNAL ARTICLE
2016,27341681,JOURNAL ARTICLE
2016,27340498,JOURNAL ARTICLE
2016,29019182,JOURNAL ARTICLE
2015,27336167,JOURNAL ARTICLE
2016,27335450,JOURNAL ARTICLE
2016,27333161,LETTER
2016,27332993,LETTER
2016,27329233,JOURNAL ARTICLE
2015,27328980,JOURNAL ARTICLE
2016,27328915,JOURNAL ARTICLE
2015,27325743,JOURNAL ARTICLE
2015,27325416,JOURNAL ARTICLE
2015,27325413,JOURNAL ARTICLE
2015,27325057,JOURNAL ARTICLE
2016,27322846,JOURNAL ARTICLE
2016,27322759,JOURNAL ARTICLE
2016,27321668,JOURNAL ARTICLE
2016,27320679,JOURNAL ARTICLE
2016,29756025,JOURNAL ARTICLE
2016,27317421,JOURNAL ARTICLE
2016,27316777,JOURNAL ARTICLE
2016,27316463,EVALUATION STUDY
2016,27315341,JOURNAL ARTICLE
2016,27313083,JOURNAL ARTICLE
2016,27312776,JOURNAL ARTICLE
2016,27311566,JOURNAL ARTICLE
2016,27311554,JOURNAL ARTICLE
2016,27309817,JOURNAL ARTICLE
2016,27307638,JOURNAL ARTICLE
2015,27307510,JOURNAL ARTICLE
2016,27306697,LETTER
2016,27306312,JOURNAL ARTICLE
2016,27302406,JOURNAL ARTICLE
2016,27297586,JOURNAL ARTICLE
2016,27297052,JOURNAL ARTICLE
2015,27296645,JOURNAL ARTICLE
2016,27294490,EDITORIAL
2016,27295690,JOURNAL ARTICLE
2016,27295035,JOURNAL ARTICLE
2016,27294681,JOURNAL ARTICLE
2016,27294364,LETTER
2016,27289455,JOURNAL ARTICLE
2016,27284635,JOURNAL ARTICLE
2015,27284167,JOURNAL ARTICLE
2016,27284036,JOURNAL ARTICLE
2016,27284035,JOURNAL ARTICLE
2016,27284034,JOURNAL ARTICLE
2016,27284033,JOURNAL ARTICLE
2016,27284032,JOURNAL ARTICLE
2016,27284031,JOURNAL ARTICLE
2016,27284030,JOURNAL ARTICLE
2016,27284029,JOURNAL ARTICLE
2016,27284028,JOURNAL ARTICLE
2016,27284027,JOURNAL ARTICLE
2016,27284026,JOURNAL ARTICLE
2016,27284025,JOURNAL ARTICLE
2016,27284024,JOURNAL ARTICLE
2016,27284023,JOURNAL ARTICLE
2016,27281950,JOURNAL ARTICLE
2016,27281566,JOURNAL ARTICLE
2016,27279935,JOURNAL ARTICLE
2016,27279189,NEWS
2016,27277392,JOURNAL ARTICLE
2016,27277391,JOURNAL ARTICLE
2016,27274912,JOURNAL ARTICLE
2016,27272618,JOURNAL ARTICLE
2016,27270297,JOURNAL ARTICLE
2016,27270296,JOURNAL ARTICLE
2016,27268512,JOURNAL ARTICLE
2016,27268205,JOURNAL ARTICLE
2016,27267452,JOURNAL ARTICLE
2016,27266767,JOURNAL ARTICLE
2015,27266446,JOURNAL ARTICLE
2015,27266276,JOURNAL ARTICLE
2016,27264202,LETTER
2016,27262999,JOURNAL ARTICLE
2016,27260497,JOURNAL ARTICLE
2016,27259726,JOURNAL ARTICLE
2016,27258904,JOURNAL ARTICLE
2016,27258691,JOURNAL ARTICLE
2015,27255669,JOURNAL ARTICLE
2016,27253714,EDITORIAL
2016,27250662,JOURNAL ARTICLE
2016,27249346,JOURNAL ARTICLE
2016,27247386,JOURNAL ARTICLE
2016,27247120,JOURNAL ARTICLE
2016,27246537,JOURNAL ARTICLE
2016,27246532,JOURNAL ARTICLE
2016,29062929,EDITORIAL
2016,27244749,JOURNAL ARTICLE
2016,27244532,JOURNAL ARTICLE
2016,27242719,JOURNAL ARTICLE
2016,27239751,JOURNAL ARTICLE
2016,27238233,JOURNAL ARTICLE
2016,27238205,JOURNAL ARTICLE
2015,27237829,JOURNAL ARTICLE
2016,27236825,JOURNAL ARTICLE
2016,27236794,JOURNAL ARTICLE
2016,27236789,JOURNAL ARTICLE
2016,27234301,JOURNAL ARTICLE
2016,27234226,JOURNAL ARTICLE
2015,27232113,JOURNAL ARTICLE
2016,27231812,JOURNAL ARTICLE
2016,27231240,JOURNAL ARTICLE
2016,27230689,JOURNAL ARTICLE
2016,27230540,JOURNAL ARTICLE
2016,27229181,JOURNAL ARTICLE
2015,27227549,JOURNAL ARTICLE
2015,27226765,JOURNAL ARTICLE
2016,27226597,JOURNAL ARTICLE
2016,27225470,JOURNAL ARTICLE
2016,27223822,JOURNAL ARTICLE
2015,27222664,JOURNAL ARTICLE
2016,27222486,JOURNAL ARTICLE
2016,27221461,JOURNAL ARTICLE
2016,27220470,JOURNAL ARTICLE
2016,27220405,JOURNAL ARTICLE
2015,27216259,JOURNAL ARTICLE
2016,29019194,JOURNAL ARTICLE
2015,27211860,JOURNAL ARTICLE
2015,27211507,JOURNAL ARTICLE
2016,27209041,JOURNAL ARTICLE
2016,27208103,JOURNAL ARTICLE
2016,27207225,JOURNAL ARTICLE
2016,27203372,JOURNAL ARTICLE
2016,27203116,JOURNAL ARTICLE
2016,27200444,HISTORICAL ARTICLE
2016,27200344,JOURNAL ARTICLE
2016,27197833,JOURNAL ARTICLE
2016,27193783,JOURNAL ARTICLE
2016,27193657,NEWS
2015,27190519,JOURNAL ARTICLE
2015,27189230,JOURNAL ARTICLE
2016,27188342,EDITORIAL
2016,27186988,JOURNAL ARTICLE
2016,27185893,JOURNAL ARTICLE
2016,27185383,JOURNAL ARTICLE
2016,27180265,JOURNAL ARTICLE
2015,27179764,JOURNAL ARTICLE
2016,27176601,EDITORIAL
2016,27174538,LETTER
2016,27172092,JOURNAL ARTICLE
2016,27169595,JOURNAL ARTICLE
2016,27165327,JOURNAL ARTICLE
2016,27165320,JOURNAL ARTICLE
2016,27165317,JOURNAL ARTICLE
2015,29468123,JOURNAL ARTICLE
2016,27164599,JOURNAL ARTICLE
2016,27163859,JOURNAL ARTICLE
2015,27163612,JOURNAL ARTICLE
2016,27160350,JOURNAL ARTICLE
2015,29468120,JOURNAL ARTICLE
2016,27159899,JOURNAL ARTICLE
2016,27159405,JOURNAL ARTICLE
2016,27159246,JOURNAL ARTICLE
2016,27159019,JOURNAL ARTICLE
2016,27158095,JOURNAL ARTICLE
2015,27155093,JOURNAL ARTICLE
2016,27152757,JOURNAL ARTICLE
2015,27152328,JOURNAL ARTICLE
2015,27151862,JOURNAL ARTICLE
2016,27151315,JOURNAL ARTICLE
2016,27148743,JOURNAL ARTICLE
2016,27146265,JOURNAL ARTICLE
2016,27145899,JOURNAL ARTICLE
2016,27144921,JOURNAL ARTICLE
2016,27145443,JOURNAL ARTICLE
2016,27143387,JOURNAL ARTICLE
2015,27142538,JOURNAL ARTICLE
2015,27138379,JOURNAL ARTICLE
2016,27136685,JOURNAL ARTICLE
2016,27136602,JOURNAL ARTICLE
2016,27135809,JOURNAL ARTICLE
2016,27132126,JOURNAL ARTICLE
2015,29062933,JOURNAL ARTICLE
2016,27131375,JOURNAL ARTICLE
2016,27128597,JOURNAL ARTICLE
2015,27128344,JOURNAL ARTICLE
2016,27125735,JOURNAL ARTICLE
2015,27119630,JOURNAL ARTICLE
2015,27119221,JOURNAL ARTICLE
2016,27118590,JOURNAL ARTICLE
2016,27116217,JOURNAL ARTICLE
2016,27116033,JOURNAL ARTICLE
2016,27115041,JOURNAL ARTICLE
2016,27114166,JOURNAL ARTICLE
2016,27113754,JOURNAL ARTICLE
2016,27113243,JOURNAL ARTICLE
2016,27112709,JOURNAL ARTICLE
2016,27112032,JOURNAL ARTICLE
2016,27111610,NEWS
2016,27111421,JOURNAL ARTICLE
2016,27111400,EDITORIAL
2016,27111289,JOURNAL ARTICLE
2016,27111147,JOURNAL ARTICLE
2016,27111037,JOURNAL ARTICLE
2016,27110723,JOURNAL ARTICLE
2016,27110633,JOURNAL ARTICLE
2016,27107467,JOURNAL ARTICLE
2016,28853262,JOURNAL ARTICLE
2016,27106061,JOURNAL ARTICLE
2015,27105282,JOURNAL ARTICLE
2016,27104360,JOURNAL ARTICLE
2015,27103533,JOURNAL ARTICLE
2015,27102828,JOURNAL ARTICLE
2016,27101517,JOURNAL ARTICLE
2016,27097409,ENGLISH ABSTRACT
2016,29062922,JOURNAL ARTICLE
2015,27096615,JOURNAL ARTICLE
2016,27096575,LETTER
2015,27094795,JOURNAL ARTICLE
2016,27094298,JOURNAL ARTICLE
2016,27094291,JOURNAL ARTICLE
2016,27094290,JOURNAL ARTICLE
2016,27092814,JOURNAL ARTICLE
2016,27092515,JOURNAL ARTICLE
2015,27092132,JOURNAL ARTICLE
2015,27089812,JOURNAL ARTICLE
2016,27085223,JOURNAL ARTICLE
2016,27084981,JOURNAL ARTICLE
2016,27084942,JOURNAL ARTICLE
2015,27084897,JOURNAL ARTICLE
2016,27084023,JOURNAL ARTICLE
2016,27081481,JOURNAL ARTICLE
2016,27080321,EDITORIAL
2016,27079979,JOURNAL ARTICLE
2016,27079176,JOURNAL ARTICLE
2016,27078094,JOURNAL ARTICLE
2015,27075000,JOURNAL ARTICLE
2016,27074335,JOURNAL ARTICLE
2016,27072506,JOURNAL ARTICLE
2015,27071365,JOURNAL ARTICLE
2015,27071007,JOURNAL ARTICLE
2016,27068224,JOURNAL ARTICLE
2015,27067456,JOURNAL ARTICLE
2016,27067264,JOURNAL ARTICLE
2015,27065234,JOURNAL ARTICLE
2016,27064127,JOURNAL ARTICLE
2016,27064018,EDITORIAL
2015,27063289,JOURNAL ARTICLE
2016,27061024,JOURNAL ARTICLE
2016,27060669,JOURNAL ARTICLE
2016,27060146,JOURNAL ARTICLE
2016,27059273,HISTORICAL ARTICLE
2016,27058370,JOURNAL ARTICLE
2016,27056171,JOURNAL ARTICLE
2015,27054950,JOURNAL ARTICLE
2016,27054880,JOURNAL ARTICLE
2016,27053655,JOURNAL ARTICLE
2016,27053081,JOURNAL ARTICLE
2016,27049164,EDITORIAL
2016,27048796,JOURNAL ARTICLE
2015,27045108,JOURNAL ARTICLE
2016,27044725,JOURNAL ARTICLE
2015,29062921,JOURNAL ARTICLE
2016,27042209,JOURNAL ARTICLE
2016,27040708,JOURNAL ARTICLE
2016,27038303,JOURNAL ARTICLE
2015,27037959,JOURNAL ARTICLE
2016,27037670,JOURNAL ARTICLE
2016,27037119,JOURNAL ARTICLE
2016,27036863,JOURNAL ARTICLE
2015,27034378,JOURNAL ARTICLE
2016,27033694,JOURNAL ARTICLE
2016,27032985,JOURNAL ARTICLE
2016,27031186,JOURNAL ARTICLE
2015,27030663,JOURNAL ARTICLE
2015,27030440,JOURNAL ARTICLE
2016,27029256,NEWS
2015,29062924,JOURNAL ARTICLE
2015,27028806,JOURNAL ARTICLE
2016,27023458,JOURNAL ARTICLE
2015,27022715,JOURNAL ARTICLE
2016,27019501,JOURNAL ARTICLE
2015,27018306,JOURNAL ARTICLE
2016,27017007,JOURNAL ARTICLE
2015,27015975,JOURNAL ARTICLE
2015,27015551,JOURNAL ARTICLE
2016,27015292,JOURNAL ARTICLE
2015,27013737,JOURNAL ARTICLE
2016,27013708,NEWS
2016,27007381,JOURNAL ARTICLE
2016,27007080,JOURNAL ARTICLE
2015,27005523,JOURNAL ARTICLE
2016,27001721,JOURNAL ARTICLE
2016,27000939,JOURNAL ARTICLE
2016,26999422,JOURNAL ARTICLE
2015,26999002,JOURNAL ARTICLE
2016,26996613,JOURNAL ARTICLE
2015,26996382,JOURNAL ARTICLE
2015,26996381,JOURNAL ARTICLE
2015,26996256,JOURNAL ARTICLE
2016,26994377,JOURNAL ARTICLE
2015,26992799,JOURNAL ARTICLE
2016,26991644,JOURNAL ARTICLE
2015,26991476,JOURNAL ARTICLE
2016,26991359,JOURNAL ARTICLE
2016,26991244,JOURNAL ARTICLE
2016,26991155,JOURNAL ARTICLE
2016,26988254,JOURNAL ARTICLE
2015,26987659,JOURNAL ARTICLE
2016,26987411,CONGRESS
2016,26986701,JOURNAL ARTICLE
2015,26984442,JOURNAL ARTICLE
2016,26983542,JOURNAL ARTICLE
2016,26981892,JOURNAL ARTICLE
2015,26980283,EVALUATION STUDY
2015,26980090,JOURNAL ARTICLE
2015,26979763,JOURNAL ARTICLE
2016,26978844,BIOGRAPHY
2016,26978843,JOURNAL ARTICLE
2016,26976851,JOURNAL ARTICLE
2016,26976658,JOURNAL ARTICLE
2016,26976595,JOURNAL ARTICLE
2016,26975050,JOURNAL ARTICLE
2016,26973885,JOURNAL ARTICLE
2015,26973834,JOURNAL ARTICLE
2015,26973687,JOURNAL ARTICLE
2015,26973619,JOURNAL ARTICLE
2016,26971630,JOURNAL ARTICLE
2016,26970194,JOURNAL ARTICLE
2015,26969733,JOURNAL ARTICLE
2015,26969709,JOURNAL ARTICLE
2015,26969252,JOURNAL ARTICLE
2015,26968941,JOURNAL ARTICLE
2015,26968773,JOURNAL ARTICLE
2016,26968149,EDITORIAL
2015,26967285,JOURNAL ARTICLE
2016,26965385,JOURNAL ARTICLE
2016,26965120,JOURNAL ARTICLE
2016,26965116,JOURNAL ARTICLE
2016,26965114,JOURNAL ARTICLE
2016,26965113,JOURNAL ARTICLE
2016,26962028,JOURNAL ARTICLE
2016,26961967,JOURNAL ARTICLE
2016,26961639,NEWS
2016,26961445,JOURNAL ARTICLE
2016,26958852,JOURNAL ARTICLE
2016,26955864,JOURNAL ARTICLE
2016,26952708,JOURNAL ARTICLE
2016,26951651,JOURNAL ARTICLE
2015,26948437,JOURNAL ARTICLE
2015,26946281,JOURNAL ARTICLE
2015,26945781,JOURNAL ARTICLE
2015,26943939,JOURNAL ARTICLE
2016,26942861,JOURNAL ARTICLE
2015,26942047,JOURNAL ARTICLE
2016,26940949,JOURNAL ARTICLE
2016,26939452,ENGLISH ABSTRACT
2015,26937966,JOURNAL ARTICLE
2016,26936291,JOURNAL ARTICLE
2015,26934190,JOURNAL ARTICLE
2016,26934095,JOURNAL ARTICLE
2016,26934089,JOURNAL ARTICLE
2015,26933735,JOURNAL ARTICLE
2015,26933734,JOURNAL ARTICLE
2015,26928284,JOURNAL ARTICLE
2016,26928030,JOURNAL ARTICLE
2015,26925876,JOURNAL ARTICLE
2016,26924258,JOURNAL ARTICLE
2015,26922884,JOURNAL ARTICLE
2015,28875662,JOURNAL ARTICLE
2016,26916955,JOURNAL ARTICLE
2015,26916078,JOURNAL ARTICLE
2016,26914388,JOURNAL ARTICLE
2016,26913283,JOURNAL ARTICLE
2015,26913281,PUBLISHED ERRATUM
2016,26912179,JOURNAL ARTICLE
2016,26911755,NEWS
2016,26908220,JOURNAL ARTICLE
2016,26906932,JOURNAL ARTICLE
2016,29062932,JOURNAL ARTICLE
2015,26904067,JOURNAL ARTICLE
2015,26901642,JOURNAL ARTICLE
2015,26900850,JOURNAL ARTICLE
2015,26900006,JOURNAL ARTICLE
2015,29062935,JOURNAL ARTICLE
2015,26897628,JOURNAL ARTICLE
2015,26897165,JOURNAL ARTICLE
2015,26896588,JOURNAL ARTICLE
2016,26895480,JOURNAL ARTICLE
2015,26894684,EVALUATION STUDY
2015,26889809,JOURNAL ARTICLE
2015,26889205,JOURNAL ARTICLE
2015,26887506,JOURNAL ARTICLE
2015,26887320,JOURNAL ARTICLE
2016,26886063,JOURNAL ARTICLE
2016,26885935,JOURNAL ARTICLE
2016,26884172,JOURNAL ARTICLE
2016,26884157,JOURNAL ARTICLE
2016,26884105,INTRODUCTORY JOURNAL ARTICLE
2016,26883397,JOURNAL ARTICLE
2016,26883347,JOURNAL ARTICLE
2016,26876034,JOURNAL ARTICLE
2016,26875679,JOURNAL ARTICLE
2015,26874263,JOURNAL ARTICLE
2015,26874261,JOURNAL ARTICLE
2015,26874228,JOURNAL ARTICLE
2015,26873287,JOURNAL ARTICLE
2016,26871625,JOURNAL ARTICLE
2015,26870924,JOURNAL ARTICLE
2015,26870759,JOURNAL ARTICLE
2015,26867713,JOURNAL ARTICLE
2016,26863154,JOURNAL ARTICLE
2016,26861045,JOURNAL ARTICLE
2015,26860871,JOURNAL ARTICLE
2016,26860781,JOURNAL ARTICLE
2016,26858408,JOURNAL ARTICLE
2015,26857385,JOURNAL ARTICLE
2015,26855265,JOURNAL ARTICLE
2015,26854666,JOURNAL ARTICLE
2016,26854500,JOURNAL ARTICLE
2015,26854237,JOURNAL ARTICLE
2016,26854090,JOURNAL ARTICLE
2016,26853318,JOURNAL ARTICLE
2015,26844672,CONGRESS
2016,26844671,EDITORIAL
2015,26844808,JOURNAL ARTICLE
2016,26843166,JOURNAL ARTICLE
2015,29062930,JOURNAL ARTICLE
2015,29062923,JOURNAL ARTICLE
2016,26839930,EDITORIAL
2015,26839585,JOURNAL ARTICLE
2015,26839579,JOURNAL ARTICLE
2016,26838341,JOURNAL ARTICLE
2015,26837577,JOURNAL ARTICLE
2016,26835539,JOURNAL ARTICLE
2015,26835447,JOURNAL ARTICLE
2016,26833578,JOURNAL ARTICLE
2015,26833485,JOURNAL ARTICLE
2016,26832641,JOURNAL ARTICLE
2015,26832446,JOURNAL ARTICLE
2016,26831699,JOURNAL ARTICLE
2015,26830878,JOURNAL ARTICLE
2015,26829588,JOURNAL ARTICLE
2016,26829203,JOURNAL ARTICLE
2015,26828650,JOURNAL ARTICLE
2016,26827726,EDITORIAL
2015,26824028,JOURNAL ARTICLE
2016,26821822,JOURNAL ARTICLE
2015,26821778,JOURNAL ARTICLE
2016,26818434,JOURNAL ARTICLE
2016,26814421,JOURNAL ARTICLE
2016,26814193,JOURNAL ARTICLE
2015,26809780,JOURNAL ARTICLE
2015,26808821,JOURNAL ARTICLE
2016,26808703,JOURNAL ARTICLE
2015,26806853,JOURNAL ARTICLE
2015,26804165,JOURNAL ARTICLE
2016,26800545,JOURNAL ARTICLE
2015,26799494,JOURNAL ARTICLE
2016,26797494,JOURNAL ARTICLE
2016,26793993,JOURNAL ARTICLE
2015,26793187,JOURNAL ARTICLE
2015,26792123,JOURNAL ARTICLE
2016,26791441,EDITORIAL
2016,26787909,JOURNAL ARTICLE
2016,26787873,JOURNAL ARTICLE
2015,26787340,JOURNAL ARTICLE
2016,26784843,JOURNAL ARTICLE
2016,26778746,JOURNAL ARTICLE
2015,26777788,JOURNAL ARTICLE
2015,26776248,JOURNAL ARTICLE
2015,26775580,JOURNAL ARTICLE
2015,26775250,JOURNAL ARTICLE
2015,26773811,JOURNAL ARTICLE
2016,26769567,JOURNAL ARTICLE
2015,26769097,JOURNAL ARTICLE
2015,26768651,JOURNAL ARTICLE
2016,26766437,JOURNAL ARTICLE
2015,26764228,JOURNAL ARTICLE
2016,26763681,PUBLISHED ERRATUM
2015,26759638,JOURNAL ARTICLE
2015,26758940,JOURNAL ARTICLE
2016,26758547,JOURNAL ARTICLE
2016,26758451,JOURNAL ARTICLE
2015,26757342,JOURNAL ARTICLE
2015,26757179,JOURNAL ARTICLE
2015,26756967,JOURNAL ARTICLE
2015,26754821,JOURNAL ARTICLE
2016,26753707,JOURNAL ARTICLE
2016,26753032,JOURNAL ARTICLE
2015,26752998,PUBLISHED ERRATUM
2016,26751735,JOURNAL ARTICLE
2016,26751617,JOURNAL ARTICLE
2015,26748884,JOURNAL ARTICLE
2015,26748097,JOURNAL ARTICLE
2015,26745790,EVALUATION STUDY
2015,26743236,JOURNAL ARTICLE
2015,26739962,JOURNAL ARTICLE
2016,26739566,JOURNAL ARTICLE
2016,26738585,LETTER
2016,26736421,JOURNAL ARTICLE
2016,26736420,JOURNAL ARTICLE
2016,26736419,JOURNAL ARTICLE
2016,26736418,JOURNAL ARTICLE
2016,26736417,JOURNAL ARTICLE
2015,26733184,JOURNAL ARTICLE
2015,26732754,JOURNAL ARTICLE
2016,26729648,JOURNAL ARTICLE
2016,26728081,JOURNAL ARTICLE
2016,26724791,EDITORIAL
2015,26721629,JOURNAL ARTICLE
2015,28331815,JOURNAL ARTICLE
2015,26716448,JOURNAL ARTICLE
2015,26715946,JOURNAL ARTICLE
2015,26715734,JOURNAL ARTICLE
2015,26715120,JOURNAL ARTICLE
2015,26714638,JOURNAL ARTICLE
2015,26712533,JOURNAL ARTICLE
2015,26707986,JOURNAL ARTICLE
2015,26707197,JOURNAL ARTICLE
2015,26705548,JOURNAL ARTICLE
2015,26704969,JOURNAL ARTICLE
2015,26702654,JOURNAL ARTICLE
2015,26702308,JOURNAL ARTICLE
2015,26701310,JOURNAL ARTICLE
2015,26701036,HISTORICAL ARTICLE
2015,26699901,JOURNAL ARTICLE
2015,26699898,JOURNAL ARTICLE
2015,26699732,JOURNAL ARTICLE
2015,26697667,JOURNAL ARTICLE
2015,28952565,JOURNAL ARTICLE
2015,26697112,JOURNAL ARTICLE
2015,26696985,JOURNAL ARTICLE
2015,26696234,JOURNAL ARTICLE
2015,26695342,JOURNAL ARTICLE
2015,26692340,JOURNAL ARTICLE
2015,26692227,JOURNAL ARTICLE
2015,26690379,JOURNAL ARTICLE
2015,26689263,JOURNAL ARTICLE
2015,26688199,JOURNAL ARTICLE
2015,26687992,EDITORIAL
2015,26686885,JOURNAL ARTICLE
2015,26686863,JOURNAL ARTICLE
2015,26686627,JOURNAL ARTICLE
2015,26682704,JOURNAL ARTICLE
2015,26680184,JOURNAL ARTICLE
2015,26677142,JOURNAL ARTICLE
2015,26676608,JOURNAL ARTICLE
2015,26675220,JOURNAL ARTICLE
2015,26674800,JOURNAL ARTICLE
2015,26674636,JOURNAL ARTICLE
2015,26674196,JOURNAL ARTICLE
2015,26673703,JOURNAL ARTICLE
2015,26673570,JOURNAL ARTICLE
2015,26672373,JOURNAL ARTICLE
2015,26671810,JOURNAL ARTICLE
2015,26671413,EVALUATION STUDY
2015,26668354,JOURNAL ARTICLE
2015,26667057,JOURNAL ARTICLE
2015,26663438,JOURNAL ARTICLE
2015,26661787,JOURNAL ARTICLE
2015,26660160,JOURNAL ARTICLE
2015,26656950,JOURNAL ARTICLE
2015,26656128,JOURNAL ARTICLE
2015,26655848,JOURNAL ARTICLE
2015,26655679,JOURNAL ARTICLE
2015,26651824,JOURNAL ARTICLE
2015,26649809,JOURNAL ARTICLE
2015,26647833,JOURNAL ARTICLE
2015,26647582,JOURNAL ARTICLE
2015,26644292,JOURNAL ARTICLE
2015,26639786,JOURNAL ARTICLE
2015,26636078,JOURNAL ARTICLE
2015,26633141,JOURNAL ARTICLE
2015,26632584,HISTORICAL ARTICLE
2015,26631337,JOURNAL ARTICLE
2015,26630677,JOURNAL ARTICLE
2015,26630593,INTERVIEW
2015,26627685,JOURNAL ARTICLE
2014,26622627,JOURNAL ARTICLE
2015,26620564,JOURNAL ARTICLE
2015,26620318,JOURNAL ARTICLE
2015,26618393,JOURNAL ARTICLE
2015,26617065,JOURNAL ARTICLE
2015,26616724,JOURNAL ARTICLE
2015,29861925,JOURNAL ARTICLE
2015,28392851,EDITORIAL
2014,28392850,JOURNAL ARTICLE
2015,28392848,JOURNAL ARTICLE
2015,26611838,JOURNAL ARTICLE
2015,26602687,JOURNAL ARTICLE
2015,26601339,JOURNAL ARTICLE
2015,26598662,JOURNAL ARTICLE
2015,26596932,JOURNAL ARTICLE
2015,26594238,JOURNAL ARTICLE
2015,26592304,JOURNAL ARTICLE
2015,26592087,JOURNAL ARTICLE
2015,26592086,BIOGRAPHY
2015,26589279,JOURNAL ARTICLE
2015,26586840,JOURNAL ARTICLE
2015,26585872,JOURNAL ARTICLE
2015,26580228,JOURNAL ARTICLE
2015,26580227,JOURNAL ARTICLE
2015,26579140,JOURNAL ARTICLE
2015,26577739,JOURNAL ARTICLE
2015,26574194,EDITORIAL
2015,26574166,JOURNAL ARTICLE
2013,26573980,JOURNAL ARTICLE
2015,26571046,JOURNAL ARTICLE
2015,26569598,JOURNAL ARTICLE
2015,26569314,JOURNAL ARTICLE
2015,26568632,JOURNAL ARTICLE
2015,26567534,JOURNAL ARTICLE
2015,26566825,JOURNAL ARTICLE
2015,26557643,JOURNAL ARTICLE
2015,26557642,JOURNAL ARTICLE
2015,26556131,JOURNAL ARTICLE
2015,26555930,JOURNAL ARTICLE
2015,26555805,JOURNAL ARTICLE
2015,26554583,COMPARATIVE STUDY
2015,26554091,JOURNAL ARTICLE
2015,26548807,JOURNAL ARTICLE
2015,26546279,JOURNAL ARTICLE
2015,26546088,JOURNAL ARTICLE
2015,26545162,JOURNAL ARTICLE
2015,26543501,JOURNAL ARTICLE
2015,26543195,INTERVIEW
2015,26542230,COMPARATIVE STUDY
2015,26541358,JOURNAL ARTICLE
2015,26539187,JOURNAL ARTICLE
2015,26537451,JOURNAL ARTICLE
2015,26536936,NEWS
2015,26535798,JOURNAL ARTICLE
2015,26528570,GUIDELINE
2015,26528556,GUIDELINE
2015,26528261,JOURNAL ARTICLE
2015,26527577,JOURNAL ARTICLE
2015,26526199,JOURNAL ARTICLE
2015,26524465,JOURNAL ARTICLE
2015,26524089,JOURNAL ARTICLE
2015,26522937,JOURNAL ARTICLE
2015,26519562,JOURNAL ARTICLE
2015,26517919,JOURNAL ARTICLE
2015,26517889,JOURNAL ARTICLE
2015,26517688,JOURNAL ARTICLE
2015,26517567,JOURNAL ARTICLE
2015,26516270,JOURNAL ARTICLE
2015,26515616,JOURNAL ARTICLE
2015,26514597,JOURNAL ARTICLE
2015,26504218,JOURNAL ARTICLE
2015,26503307,JOURNAL ARTICLE
2015,26503255,JOURNAL ARTICLE
2014,26501750,JOURNAL ARTICLE
2014,26501127,JOURNAL ARTICLE
2015,26500559,JOURNAL ARTICLE
2015,26498787,JOURNAL ARTICLE
2015,26498651,JOURNAL ARTICLE
2015,26496614,JOURNAL ARTICLE
2015,26490728,JOURNAL ARTICLE
2015,26488462,JOURNAL ARTICLE
2015,26485082,PUBLISHED ERRATUM
2015,26482604,JOURNAL ARTICLE
2015,26481730,JOURNAL ARTICLE
2015,26481231,JOURNAL ARTICLE
2015,26479688,JOURNAL ARTICLE
2015,26479184,JOURNAL ARTICLE
2015,26478859,JOURNAL ARTICLE
2015,26478774,JOURNAL ARTICLE
2015,26478262,JOURNAL ARTICLE
2015,26474207,JOURNAL ARTICLE
2015,26472354,JOURNAL ARTICLE
2015,26471875,JOURNAL ARTICLE
2015,26471457,JOURNAL ARTICLE
2015,26471233,JOURNAL ARTICLE
2015,26470758,JOURNAL ARTICLE
2015,26469002,EDITORIAL
2015,26466596,JOURNAL ARTICLE
2015,26465656,JOURNAL ARTICLE
2015,26465351,JOURNAL ARTICLE
2015,26464792,JOURNAL ARTICLE
2015,26464791,JOURNAL ARTICLE
2015,26463592,JOURNAL ARTICLE
2015,26461040,JOURNAL ARTICLE
2015,26456466,JOURNAL ARTICLE
2015,26456417,EDITORIAL
2015,26454865,JOURNAL ARTICLE
2015,26453944,JOURNAL ARTICLE
2015,26453699,JOURNAL ARTICLE
2015,26451892,LETTER
2015,26450561,JOURNAL ARTICLE
2015,26448090,JOURNAL ARTICLE
2015,26448077,INTERVIEW
2015,26443215,JOURNAL ARTICLE
2015,26442250,JOURNAL ARTICLE
2015,26441855,JOURNAL ARTICLE
2015,26441653,JOURNAL ARTICLE
2015,26439378,JOURNAL ARTICLE
2014,26435881,JOURNAL ARTICLE
2015,26435739,JOURNAL ARTICLE
2015,26434808,JOURNAL ARTICLE
2015,26433473,JOURNAL ARTICLE
2015,26430766,JOURNAL ARTICLE
2015,26428449,JOURNAL ARTICLE
2015,26428232,JOURNAL ARTICLE
2015,26427827,EVALUATION STUDY
2015,26427661,JOURNAL ARTICLE
2015,26420864,JOURNAL ARTICLE
2015,26418181,JOURNAL ARTICLE
2015,26416683,JOURNAL ARTICLE
2015,26415505,JOURNAL ARTICLE
2015,26414790,JOURNAL ARTICLE
2015,26414746,JOURNAL ARTICLE
2015,26409776,JOURNAL ARTICLE
2015,26405058,JOURNAL ARTICLE
2015,26403808,EDITORIAL
2015,26403362,JOURNAL ARTICLE
2014,26396656,JOURNAL ARTICLE
2014,26396651,JOURNAL ARTICLE
2015,26393965,JOURNAL ARTICLE
2015,26392044,JOURNAL ARTICLE
